DisplayName,Id,totalVotes,WebsiteUrl
"Dirk Eddelbuettel","143305","16506","http://dirk.eddelbuettel.com"
"A Handcart And Mohair","1270695","9883","http://news.mrdwab.com"
"Gavin Simpson","429846","9612","http://www.fromthebottomoftheheap.net"
"Joshua Ulrich","271616","9212","http://www.fosstrading.com"
"joran","324364","9033","http://statisticalskier.com"
"Andrie","602276","8945","http://rfordummies.com/"
"Ben Bolker","190277","8124","http://www.math.mcmaster.ca/bolker"
"agstudy","1838509","6419","http://www.linkedin.com/in/aminegassem"
"Arun","559784","6400","https://github.com/Rdatatable/data.table/wiki/Getting-started"
"Joris Meys","428790","5970","http://biomath.ugent.be/biomath/index.php"
"hadley","16632","5538","http://hadley.nz"
"MrFlick","2372064","5528","http://www.matthewflickinger.com"
"Shane","163053","5454","http://www.statalgo.com"
"David Arenburg","3001626","5196","http://www.linkedin.com/pub/david-arenburg/1a/432/9b4"
"Richie Cotton","134830","5055","http://4dpiecharts.com/"
"flodel","1201032","4512","http://www.linkedin.com/in/florentdelmotte"
"Sven Hohenstein","1627235","3882","https://orcid.org/0000-0002-9708-1593"
"Didzis Elferts","1857266","3782","http://delferts.github.io"
"thelatemail","496803","3708","http://www.daleidoscope.com"
"Spacedman","211116","3708","http://barry.rowlingson.com/"
"kohske","314020","3631","http://www.fennel.rcast.u-tokyo.ac.jp/profilee_ktakahashi.html"
"Tyler Rinker","1000343","3228","http://trinkerrstuff.wordpress.com/"
"Chase","415635","3212","http://www.rsginc.com"
"baptiste","471093","3153","http://baptiste.github.io"
"Paul Hiemstra","1033808","3100","http://www.numbertheory.nl"
